"Human Gene ID","Human Gene Name","Gene MIM Number","Cilia Related Process Pubmed ID","Synonym"
79781,"IQCA1","No MIM ID","23427265","IQCA1;IQCA1;ENSG00000132321; IQCA; DRC11; 4930465P12Rik"
115811,"IQCD","No MIM ID","23427265","IQCD;IQCD;ENSG00000166578; DRC10; CFAP84; 4933433C09Rik"
23288,"IQCE","617631","31549751","IQCE;IQCE;ENSG00000106012; PAPA7; 1700028P05Rik"
84223,"IQCG","612477","23427265","IQCG;IQCG;ENSG00000114473; DRC9; CFAP122"
64799,"IQCH","612523","21289087 *","IQCH;IQCH;ENSG00000103599; NYDSP5"
124152,"IQCK","No MIM ID","22558177 *",NA
154865,"IQUB","No MIM ID","21289087",NA
84056,"KATNAL1","614764","28373692",NA
79734,"KCTD17","616386","32825105",NA
22832,"KIAA1009","610201","23644468","CEP162;KIAA1009;ENSG00000135315; QN1; C6orf84; KIAA1009"
3796,"KIF2A","602591","25660017","KIF2A;KIF2A;ENSG00000068796; HK2; KIF2; CDCBM3"
3798,"KIF5A","602821","29445114","KIF5A;KIF5A;ENSG00000155980; NKHC; ALS25; MY050; NEIMY; SPG10; D12S1889"
3800,"KIF5C","604593","29445114","KIF5C;KIF5C;ENSG00000168280; KINN; NKHC; NKHC2; CDCBM2; NKHC-2"
136332,"LRGUK","616478","25781171","LRGUK;LRGUK;ENSG00000155530; CFAP246"
254050,"LRRC43","No MIM ID","26947080",NA
90506,"LRRC46","No MIM ID","33771330",NA
4118,"MAL","188860","22895261","MAL;MAL;ENSG00000172005; MVP17; VIP17"
4131,"MAP1B","157129","1487506 *","MAP1B;MAP1B;ENSG00000131711; MAP5; PVNH9; DFNA83; FUTSCH; PPP1R102"
81631,"MAP1LC3B","609604","33136096 *","MAP1LC3B;MAP1LC3B;ENSG00000140941; LC3B; ATG8F; MAP1LC3B-a; MAP1A/1BLC3"
22919,"MAPRE1","603108","21768326","MAPRE1;MAPRE1;ENSG00000101367; EB1"
345643,"MCIN","No MIM ID","25048963","MCIDAS;MCIN;ENSG00000234602; MCI; IDAS; MCIN; CILD42"
5891,"MOK","605762","31339880","MOK;MOK;ENSG00000080823; RAGE; RAGE1; STK30; RAGE-1"
729967,"MORN2","No MIM ID","33303696","MORN2;MORN2;ENSG00000188010; MOPT; BLOCK27"
283385,"MORN3","No MIM ID","25248657 *",NA
254956,"MORN5","619837","29257953 *","MORN5;MORN5;ENSG00000185681; C9orf18; C9orf113"
4602,"MYB","189990","24048590","MYB;MYB;ENSG00000118513; efg; Cmyb; c-myb; c-myb_CDS"
4628,"MYH10","160776","25881509","MYH10;MYH10;ENSG00000133026; NMMHCB; NMMHC-IIB"
4645,"MYO5B","606540","10.13028/M2GX0S","MYO5B;MYO5B;ENSG00000167306; DIAR2; MVID1; PFIC10"
91754,"NEK9","609798","34078910","NEK9;NEK9;ENSG00000119638; NC; APUG; NERCC; LCCS10; NERCC1"
51199,"NIN","608684","27818179","NIN;NIN;ENSG00000100503; SCKL7"
8382,"NME5","603575","32185794","NME5;NME5;ENSG00000112981; NM23H5; RSPH23; NM23-H5"
344022,"NOTO","No MIM ID","17884984",NA
10726,"NUDC","610325","26704451","NUDC;NUDC;ENSG00000090273; HNUDC; MNUDC; NPD011"
23386,"NUDCD3","610296","25205765","NUDCD3;NUDCD3;ENSG00000015676; NudCL"
4998,"ORC1","601902","30696958","ORC1;ORC1;ENSG00000085840; ORC1L; PARC1; HSORC1"
5108,"PCM1","600299","33214552, 32402286","PCM1;PCM1;ENSG00000078674; PTC4; RET/PCM-1"
10464,"PIBF1","607532","32402286","PIBF1;PIBF1;ENSG00000083535; PIBF; CEP90; JBTS33; C13orf24"
128344,"PIFO","614234","20643351","PIFO;PIFO;ENSG00000173947; C1orf88; pitchfork"
120379,"PIH1D2","No MIM ID","29741156","PIH1D2;PIH1D2;ENSG00000150773; DNAAF15"
139212,"PIH1D3","300933","24421334","DNAAF6;PIH1D3;ENSG00000080572; CILD36; PIH1D3; CXorf41; NYSAR97; TWISTER"
5315,"PKM","179050","32811879 *","PKM;PKM;ENSG00000067225; PK3; TCB; p58; OIP3; PKM2; CTHBP; THBP1; HEL-S-30"
50487,"PLA2G3","611651","25904332, 34082797","PLA2G3;PLA2G3;ENSG00000100078; SPLA2III; sPLA2-III; GIII-SPLA2"
58473,"PLEKHB1","607651","10923244","PLEKHB1;PLEKHB1;ENSG00000021300; KPL1; PHR1; PHRET1"
10733,"PLK4","605031","26701933","PLK4;PLK4;ENSG00000142731; SAK; STK18; MCCRP2"
5516,"PPP2CB","176916","21692192","PPP2CB;PPP2CB;ENSG00000104695; PP2CB; PP2Abeta"
5518,"PPP2R1A","605983","25492966","PPP2R1A;PPP2R1A;ENSG00000105568; MRD36; PP2AA; PR65A; PP2AAALPHA; PP2A-Aalpha"
5567,"PRKACB","176892","22007132","PRKACB;PRKACB;ENSG00000142875; CAFD2; PKACB; PKA C-beta"
5576,"PRKAR2A","176910","20016067","PRKAR2A;PRKAR2A;ENSG00000114302; PKR2; PRKAR2"
374308,"PTCHD3","611791","19339602","PTCHD3;PTCHD3;ENSG00000182077; PTR"
5742,"PTGS1","176805","33176142","PTGS1;PTGS1;ENSG00000095303; COX1; COX3; PHS1; PCOX1; PES-1; PGHS1; PTGHS; PGG/HS; PGHS-1"
138639,"PTPDC1","No MIM ID","21289087","PTPDC1;PTPDC1;ENSG00000158079; PTP9Q22"
25930,"PTPN23","606584","20393563","PTPN23;PTPN23;ENSG00000076201; HDPTP; HD-PTP; NEDBASS; PTP-TD14"
9727,"RAB11FIP3","608738","25673879","RAB11FIP3;RAB11FIP3;ENSG00000090565; CART1; FIP3-Rab11; Rab11-FIP3"
64284,"RAB17","602206","17646400",NA
51715,"RAB23","606144","17646400","RAB23;RAB23;ENSG00000112210; HSPC137"
9609,"RAB36","605662","31095607",NA
117177,"RAB3IP","608686","17574030","RAB3IP;RAB3IP;ENSG00000127328; RABIN3; RABIN8"
4218,"RAB8A","165040","17646400","RAB8A;RAB8A;ENSG00000167461; MEL; RAB8"
11159,"RABL2A","605412","30578315, 33075816",NA
11158,"RABL2B","605413","30578315",NA
64792,"RABL5","No MIM ID","22076686","IFT22;RABL5;ENSG00000128581; FAP9; RABL5"
5901,"RAN","601179","20526328","RAN;RAN;ENSG00000132341; TC4; Gsp1; ARA24"
5990,"RFX2","142765","22227339",NA
5991,"RFX3","601337","15121860",NA
5992,"RFX4","603958","19887680","RFX4;RFX4;ENSG00000111783; NYD-SP10"
83547,"RILP","607848","12944476 *","RILP;RILP;ENSG00000167705; PP10141"
8607,"RUVBL1","603449","10.1186/2194-7791-2-S1-A29","RUVBL1;RUVBL1;ENSG00000175792; RVB1; TIH1; ECP54; TIP49; ECP-54; INO80H; NMP238; PONTIN; TIP49A; NMP 238; Pontin52"
10856,"RUVBL2","604788","10.1186/2194-7791-2-S1-A29","RUVBL2;RUVBL2;ENSG00000183207; RVB2; TIH2; ECP51; TIP48; CGI-46; ECP-51; INO80J; REPTIN; TIP49B; TAP54-beta"
163786,"SASS6","609321","30013109","SASS6;SASS6;ENSG00000156876; SAS6; SAS-6; MCPH14"
132320,"SCLT1","611399","29789620","SCLT1;SCLT1;ENSG00000151466; CAP1A; CAP-1A"
11231,"SEC63","608648","28973524","SEC63;SEC63;ENSG00000025796; ERdj2; PCLD2; SEC63L; DNAJC23; PRO2507"
4735,"SEPT2","601506","22179047","SEPTIN2;SEPT2;ENSG00000168385; DIFF6; NEDD5; SEPT2; NEDD-5; Pnutl3; hNedd5"
84197,"SGK196","615247","28560031","POMK;SGK196;ENSG00000185900; SGK196; MDDGA12; MDDGC12"
6500,"SKP1","601434","31160656 *","SKP1;SKP1;ENSG00000113558; OCP2; p19A; EMC19; SKP1A; OCP-II; TCEB1L"
9368,"SLC9A3R1","604990","27055101","SLC9A3R1;SLC9A3R1;ENSG00000109062; EBP50; NHERF; NHERF1; NHERF-1; NPHLOP2"
81892,"SLIRP","610211","32973177 *","SLIRP;SLIRP;ENSG00000119705; DC50; PD04872; C14orf156"
6674,"SPAG1","603395","24055112","SPAG1;SPAG1;ENSG00000104450; SP75; TPIS; CT140; CILD28; DNAAF13; HSD-3.8; HEL-S-268"
79582,"SPAG16","612173","30911868","SPAG16;SPAG16;ENSG00000144451; PF20; WDR29"
200162,"SPAG17","616554","32988999, 23418344","SPAG17;SPAG17;ENSG00000155761; PF6; CT143; SPGF55"
128153,"SPATA17","611032","31092556","SPATA17;SPATA17;ENSG00000162814; IQCH; MOT17; FAP305; MSRG11; CFAP305; MSRG-11"
132851,"SPATA4","609879","23604077","SPATA4;SPATA4;ENSG00000150628; FAP178; SPEF1B; TSARG2; CFAP178"
54558,"SPATA6","613947","25605924 *","SPATA6;SPATA6;ENSG00000132122; HASH; SRF1; SRF-1"
25876,"SPEF1","610674","30535028","SPEF1;SPEF1;ENSG00000101222; CLAMP; SPEF1A; C20orf28"
79925,"SPEF2","610172","10100999, 31545650","SPEF2;SPEF2;ENSG00000152582; KPL2; CT122; SPGF43"
6709,"SPTAN1","182810","31299042","SPTAN1;SPTAN1;ENSG00000197694; DEE5; NEAS; EIEE5; SPTA2"
8878,"SQSTM1","601530","25015291","SQSTM1;SQSTM1;ENSG00000161011; p60; p62; A170; DMRV; OSIL; PDB3; ZIP3; p62B; NADGP; FTDALS3"
6774,"STAT3","102582","25136113","STAT3;STAT3;ENSG00000168610; APRF; HIES; ADMIO; ADMIO1"
6491,"STIL","181590","25486474","STIL;STIL;ENSG00000123473; SIL; MCPH7"
65975,"STK33","607670","29155043, 26947080",NA
23012,"STK38L","615836","28560031, 28122914","STK38L;STK38L;ENSG00000211455; NDR2"
6809,"STX3","600876","19454479","STX3;STX3;ENSG00000166900; MVID2; STX3A; DIAR12; RDMVID"
23345,"SYNE1","608441","28625779, 19596800","SYNE1;SYNE1;ENSG00000131018; 8B; AMC3; AMCM; CPG2; ARCA1; EDMD4; KASH1; MYNE1; Nesp1; SCAR8; C6orf98; dJ45H2.2"
23224,"SYNE2","608442","19596800","SYNE2;SYNE2;ENSG00000054654; NUA; EDMD5; KASH2; Nesp2; TROPH; NUANCE; SYNE-2; Nesprin-2"
6870,"TACR3","162332","10516642","TACR3;TACR3;ENSG00000169836; NK3; NKR; HH11; NK3R; NK-3R; TAC3R; TAC3RL"
23329,"TBC1D30","615077","17646400",NA
51256,"TBC1D7","615077","17646400","TBC1D7;TBC1D7;ENSG00000145979; TBC7; MGCPH; PIG51"
6903,"TBCC","602971","21285245 *","TBCC;TBCC;ENSG00000124659; CFC"
84260,"TCHP","612654","22529102, 26880200","TCHP;TCHP;ENSG00000139437; TpMs"
27285,"TEKT2","608953","15340058","TEKT2;TEKT2;ENSG00000092850; TEKTB1; TEKTIN-T; h-tektin-t"
146279,"TEKT5","618686","17924527","TEKT5;TEKT5;ENSG00000153060; CT149"
